experiment_id,dataset_family,investigation_id,original_test_id,fuel_material,material_category,sample_description,oxygen_pct,pressure_mmhg,pressure_kpa,burn_time_s,extinction_outcome,extinction_diameter_mm,initial_diameter_mm,burning_rate_mms,airflow_velocity_cms,flame_temp_k,gravity_condition,ignition_power_w,ignition_time_s,co2_pct,co_ppm,test_date,source_name,source_url,notes
FLEX-153,FLEX,PSI-69,153,Methanol,Liquid Droplet,Droplet initial diameter: 2.78 mm,18.0,765.6,102.07,15.7,Extinction,1.19,2.78,0.42,0.0,1400.0,Microgravity (~0g),,,,,12/8/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03M301. Extinction diameter: 1.19 mm. Burning rate: 0.42 mm/s.
FLEX-154,FLEX,PSI-69,154,Heptane,Liquid Droplet,Droplet initial diameter: 3.7 mm,18.0,762.3,101.63,2.2,Extinction,3.6,3.7,0.34,0.0,1400.0,Microgravity (~0g),,,,,12/9/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H101. Extinction diameter: 3.6 mm. Burning rate: 0.34 mm/s.
FLEX-155,FLEX,PSI-69,155,Heptane,Liquid Droplet,Droplet initial diameter: 2.73 mm,18.0,764.9,101.98,2.7,Extinction,2.52,2.73,0.39,0.0,1400.0,Microgravity (~0g),,,,,12/9/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H201. Extinction diameter: 2.52 mm. Burning rate: 0.39 mm/s.
FLEX-156,FLEX,PSI-69,156,Heptane,Liquid Droplet,Droplet initial diameter: 1.34 mm,18.0,765.7,102.08,3.2,Completion,0.45,1.34,0.48,0.0,1400.0,Microgravity (~0g),,,,,12/9/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H401. Extinction diameter: 0.45 mm. Burning rate: 0.48 mm/s.
FLEX-157,FLEX,PSI-69,157,Methanol,Liquid Droplet,Droplet initial diameter: 4.24 mm,16.0,762.1,101.6,7.6,Extinction,3.96,4.24,0.3,0.0,1400.0,Microgravity (~0g),,,,,12/14/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C05M101. Extinction diameter: 3.96 mm. Burning rate: 0.3 mm/s.
FLEX-158,FLEX,PSI-69,158,Methanol,Liquid Droplet,Droplet initial diameter: 3.7 mm,16.0,764.4,101.91,10.1,Extinction,3.22,3.7,0.37,0.0,1400.0,Microgravity (~0g),,,,,12/14/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C05M201. Extinction diameter: 3.22 mm. Burning rate: 0.37 mm/s.
FLEX-159,FLEX,PSI-69,159,Methanol,Liquid Droplet,Droplet initial diameter: 2.71 mm,16.0,765.5,102.06,14.9,Extinction,1.34,2.71,0.38,0.0,1400.0,Microgravity (~0g),,,,,12/14/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C05M301. Extinction diameter: 1.34 mm. Burning rate: 0.38 mm/s.
FLEX-160,FLEX,PSI-69,160,Methanol,Liquid Droplet,Droplet initial diameter: 2.77 mm,16.0,767.6,102.34,14.8,Extinction,1.52,2.77,0.38,0.0,1400.0,Microgravity (~0g),,,,,12/14/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C05M401. Extinction diameter: 1.52 mm. Burning rate: 0.38 mm/s.
FLEX-161,FLEX,PSI-69,161,Methanol,Liquid Droplet,Droplet initial diameter: 3.72 mm,15.0,763.3,101.76,6.0,Extinction,3.5,3.72,0.28,0.0,1400.0,Microgravity (~0g),,,,,12/28/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C06M101. Extinction diameter: 3.5 mm. Burning rate: 0.28 mm/s.
FLEX-162,FLEX,PSI-69,162,Methanol,Liquid Droplet,Droplet initial diameter: 3.05 mm,15.0,764.4,101.91,8.5,Extinction,2.54,3.05,0.37,0.0,1400.0,Microgravity (~0g),,,,,12/28/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C06M201. Extinction diameter: 2.54 mm. Burning rate: 0.37 mm/s.
